,Fare,Pclass
135,7.8542,3
136,7.225,3
137,13.0,2
138,8.05,3
139,46.9,3
140,46.9,3
141,151.55,1
142,262.375,1
143,26.0,2
144,26.55,1
145,18.0,3
146,51.8625,1
147,8.05,3
148,26.55,1
149,26.0,2
150,83.1583,1
151,7.8958,3
152,,3
153,12.1833,3
154,31.3875,3
155,7.55,3
156,221.7792,1
157,7.8542,3
158,26.55,1
159,13.775,3
160,7.7333,3
161,15.2458,3
162,13.5,2
163,7.0,3
164,13.0,2
165,22.025,3
166,50.4958,1
167,34.375,3
168,27.7208,1
169,8.9625,3
170,7.55,3
171,7.225,3
172,13.9,3
173,7.2292,3
174,31.3875,3
175,39.0,2
176,36.75,2
177,55.4417,1
178,39.0,2
179,83.1583,1
180,13.0,2
181,83.1583,1
182,53.1,1
183,7.75,3
184,247.5208,1
185,16.0,2
186,21.0,2
187,8.05,3
188,69.55,3
189,13.0,2
190,26.0,2
191,26.0,1
192,14.5,3
193,12.35,2
194,32.5,2
195,7.8542,3
196,134.5,1
197,7.775,3
198,10.5,2
199,8.1125,3
200,15.5,3
201,14.4,3
202,227.525,1
203,26.0,2
204,10.5,2
205,25.7417,1
206,7.75,3
207,10.5,2
208,27.7208,1
209,7.8958,3
210,22.525,3
211,7.05,3
212,73.5,2
213,26.0,2
214,7.775,3
215,42.5,1
216,7.8792,3
217,164.8667,1
218,211.5,1
219,8.05,3
220,13.8583,2
221,8.05,3
222,10.5,2
223,7.7958,3
224,27.4458,1
225,15.2458,3
226,7.7958,3
227,7.75,3
228,15.1,3
229,13.0,2
230,65.0,2
231,26.55,1
232,6.4958,3
233,7.8792,3
234,71.2833,1
235,7.8542,3
236,75.25,1
237,7.225,3
238,13.0,2
239,106.425,1
240,27.7208,1
241,30.0,2
242,134.5,1
243,7.8875,3
244,23.45,3
245,51.8625,1
246,21.0,2
247,32.5,2
248,26.0,2
249,14.4542,3
250,27.75,2
251,7.925,3
252,136.7792,1
253,9.325,3
254,9.5,3
255,7.55,3
256,7.75,3
257,8.05,3
258,13.0,2
259,7.775,3
260,17.4,3
261,7.8542,3
262,23.0,2
263,12.1833,3
264,12.7375,2
265,7.8958,3
266,0.0,1
267,7.55,3
268,8.05,3
269,8.6625,3
270,75.2417,1
271,7.75,3
272,136.7792,1
273,15.5,3
274,7.225,3
275,26.0,2
276,10.5,2
277,26.0,2
278,21.0,2
279,10.5,2
280,8.6625,3
281,13.775,3
282,7.75,3
283,15.2458,3
284,20.2125,3
285,7.25,3
286,7.25,3
287,82.2667,1
288,7.2292,3
289,8.05,3
290,39.6,1
291,6.95,3
292,7.2292,3
293,81.8583,1
294,9.5,3
295,7.8958,3
296,41.5792,2
297,21.6792,3
298,45.5,1
299,7.8542,3
300,7.775,3
301,15.0458,2
302,21.0,2
303,8.6625,3
304,7.75,3
305,26.55,1
306,151.55,1
307,9.35,3
308,93.5,1
309,14.1083,3
310,8.6625,3
311,7.225,3
312,7.575,3
313,7.75,3
314,135.6333,1
315,7.7333,3
316,146.5208,1
317,10.5,2
318,7.8542,3
319,31.5,2
320,7.775,3
321,7.2292,3
322,13.0,2
323,26.55,1
324,211.3375,1
325,7.05,3
326,39.0,2
327,79.2,1
328,26.0,2
329,13.0,2
330,36.75,2
331,29.7,1
332,7.225,3
333,15.7417,3
334,7.8958,3
335,26.0,1
336,13.0,2
337,7.2292,3
338,31.5,2
339,7.2292,3
340,10.5,2
341,7.5792,3
342,69.55,3
343,512.3292,1
344,14.5,3
345,7.65,3
346,13.0,2
347,7.2292,3
348,13.5,2
349,21.0,2
350,63.3583,1
351,10.5,2
352,73.5,2
353,65.0,2
354,20.575,3
355,26.0,1
356,51.4792,1
357,7.8792,3
358,7.75,3
359,15.55,3
360,69.55,3
361,37.0042,2
362,21.0,2
363,8.6625,3
364,55.4417,1
365,69.55,3
366,14.4583,3
367,39.6875,3
368,59.4,1
369,13.8583,2
370,11.5,2
371,134.5,1
372,0.0,1
373,13.0,2
374,81.8583,1
375,262.375,1
376,8.6625,3
377,11.5,2
378,50.0,1
379,31.3875,3
380,7.75,3
381,7.8792,3
382,14.5,3
383,16.1,3
384,12.875,2
385,65.0,2
386,7.775,3
387,13.0,2
388,7.75,3
389,21.075,3
390,93.5,1
391,39.4,1
392,20.25,3
393,10.5,2
394,22.025,3
395,60.0,1
396,7.25,3
397,79.2,1
398,7.775,3
399,7.7333,3
400,164.8667,1
401,21.0,2
402,59.4,1
403,47.1,1
404,27.7208,1
405,13.8625,2
406,10.5,2
407,211.5,1
408,7.7208,3
409,13.775,3
410,7.75,3
411,90.0,1
412,7.775,3
413,8.05,3
414,108.9,1
415,7.25,3
416,8.05,3
417,22.3583,3
